Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA,Matchday
D1,22/08/2025,19:30,Bayern Munich,RB Leipzig,6,0,H,3,0,H,19.0,12.0,10.0,1.0,13.0,13.0,5.0,5.0,4.0,1.0,0.0,0.0,1.22,7.0,9.0,1.22,7.0,12.0,1.19,7.5,10.0,1.2,7.0,11.0,1.23,7.0,10.5,1.22,7.0,10.0,1.22,7.0,10.0,1.23,7.43,10.85,1.26,7.5,12.0,1.21,7.13,10.3,1.26,7.8,12.0,1.25,4.0,1.32,3.33,1.25,4.2,1.24,3.91,1.27,4.5,-2.0,1.93,1.93,1.93,1.96,1.94,1.94,1.86,1.86,1.96,1.98,1.22,7.0,11.0,1.25,7.0,10.0,1.2,7.0,10.0,1.22,7.0,10.0,1.25,7.0,9.75,1.25,7.0,9.5,1.25,7.0,9.5,1.25,7.24,10.31,1.26,7.5,11.0,1.23,6.98,9.87,1.27,7.6,12.0,1.25,4.0,1.32,3.33,1.25,4.33,1.22,4.06,1.28,4.4,-2.0,1.98,1.88,1.98,1.93,1.99,1.93,1.9,1.86,2.07,1.92,
,22/08/2025,,Bayern,RB Leipzig,6,0,H,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
,23/08/2025,,Frankfurt,Bremen,4,1,H,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
,23/08/2025,,Leverkusen,Hoffenheim,1,2,A,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
,23/08/2025,,Freiburg,Augsburg,1,3,A,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
,23/08/2025,,Union Berlin,Stuttgart,2,1,H,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
,23/08/2025,,Heidenheim,Wolfsburg,1,3,A,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
,23/08/2025,,St. Pauli,Dortmund,3,3,D,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
D1,23/08/2025,17:30,St Pauli,Dortmund,3,3,D,0,1,A,11.0,8.0,7.0,7.0,13.0,12.0,5.0,2.0,2.0,3.0,0.0,1.0,4.5,3.9,1.75,4.6,3.75,1.73,4.5,4.0,1.65,4.4,3.6,1.67,4.5,3.9,1.73,4.5,3.9,1.75,4.4,3.8,1.73,4.82,3.79,1.77,4.75,4.1,1.75,4.52,3.85,1.71,4.9,4.0,1.81,1.83,2.03,1.87,2.02,1.83,2.07,1.75,2.02,1.86,2.08,0.75,1.88,1.98,1.9,2.0,1.9,1.98,1.82,1.87,1.92,2.03,4.2,3.7,1.9,4.0,3.6,1.9,3.95,3.65,1.82,3.9,3.7,1.85,4.2,3.7,1.83,4.2,3.7,1.83,4.2,3.6,1.83,4.13,3.64,1.95,4.2,3.75,1.95,4.04,3.65,1.86,4.4,3.75,1.97,1.8,2.0,1.86,2.05,1.82,2.05,1.77,2.01,1.89,2.1,0.5,1.98,1.88,1.96,1.96,1.98,1.91,1.92,1.83,2.02,1.96,
D1,23/08/2025,14:30,Ein Frankfurt,Werder Bremen,4,1,H,2,0,H,18.0,10.0,5.0,5.0,9.0,9.0,7.0,1.0,1.0,3.0,0.0,0.0,1.7,4.1,4.5,1.7,4.0,4.6,1.66,3.95,4.5,1.65,3.9,4.2,1.71,4.0,4.5,1.7,4.0,4.5,1.7,4.0,4.4,1.7,4.26,4.68,1.73,4.2,4.6,1.69,4.0,4.46,1.73,4.3,5.1,1.57,2.38,1.57,2.5,1.6,2.4,1.55,2.35,1.63,2.5,-0.75,1.88,1.98,1.89,2.02,1.9,1.98,1.84,1.86,1.91,2.05,1.53,4.75,5.25,1.53,4.6,5.5,1.52,4.5,5.1,1.53,4.4,5.5,1.53,4.6,5.25,1.57,4.33,5.25,1.53,4.6,5.25,1.62,4.52,5.21,1.57,4.75,5.5,1.53,4.55,5.28,1.59,4.8,6.0,1.4,3.0,1.52,2.63,1.5,3.0,1.42,2.77,1.45,3.05,-1.0,1.83,2.03,2.02,1.91,1.91,2.03,1.83,1.93,1.91,2.06,
