Lega,Stagione,Periodo,Data_Rilevazione,Squadra,Valore_Mercato_Mln
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Bayern Munich,794.1
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Borussia Dortmund,573.5
Bundesliga,2022/2023,Post-Estivo,2022-09-15,RB Leipzig,479.68
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Bayer 04 Leverkusen,474.25
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Eintracht Frankfurt,280.08
Bundesliga,2022/2023,Post-Estivo,2022-09-15,VfL Wolfsburg,261.75
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Borussia Mönchengladbach,228.63
Bundesliga,2022/2023,Post-Estivo,2022-09-15,TSG 1899 Hoffenheim,227.45
Bundesliga,2022/2023,Post-Estivo,2022-09-15,SC Freiburg,183.33
Bundesliga,2022/2023,Post-Estivo,2022-09-15,VfB Stuttgart,156.03
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Hertha BSC,153.3
Bundesliga,2022/2023,Post-Estivo,2022-09-15,1.FSV Mainz 05,148.73
Bundesliga,2022/2023,Post-Estivo,2022-09-15,1.FC Köln,127.6
Bundesliga,2022/2023,Post-Estivo,2022-09-15,FC Augsburg,122.48
Bundesliga,2022/2023,Post-Estivo,2022-09-15,1.FC Union Berlin,106.58
Bundesliga,2022/2023,Post-Estivo,2022-09-15,SV Werder Bremen,77.28
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Arminia Bielefeld,72.1
Bundesliga,2022/2023,Post-Estivo,2022-09-15,FC Schalke 04,71.08
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Hamburger SV,58.15
Bundesliga,2022/2023,Post-Estivo,2022-09-15,VfL Bochum,44.85
Bundesliga,2022/2023,Post-Estivo,2022-09-15,SpVgg Greuther Fürth,42.6
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Fortuna Düsseldorf,34.78
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Hannover 96,34.42
Bundesliga,2022/2023,Post-Estivo,2022-09-15,1.FC Nuremberg,29.58
Bundesliga,2022/2023,Post-Estivo,2022-09-15,SV Darmstadt 98,28.2
Bundesliga,2022/2023,Post-Estivo,2022-09-15,FC St. Pauli,26.08
Bundesliga,2022/2023,Post-Estivo,2022-09-15,SC Paderborn 07,19.15
Bundesliga,2022/2023,Post-Estivo,2022-09-15,1. Fußballclub Heidenheim 1846,15.9
Bundesliga,2022/2023,Post-Estivo,2022-09-15,FC Ingolstadt 04,14.83
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Holstein Kiel,11.7
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Eintracht Braunschweig,8.0
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Bayern Munich,966.7
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Borussia Dortmund,524.55
Bundesliga,2022/2023,Post-Invernale,2023-02-15,RB Leipzig,508.43
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Bayer 04 Leverkusen,462.66
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Eintracht Frankfurt,344.24
Bundesliga,2022/2023,Post-Invernale,2023-02-15,VfL Wolfsburg,251.6
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Borussia Mönchengladbach,245.9
Bundesliga,2022/2023,Post-Invernale,2023-02-15,TSG 1899 Hoffenheim,230.73
Bundesliga,2022/2023,Post-Invernale,2023-02-15,SC Freiburg,203.35
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Hertha BSC,164.4
Bundesliga,2022/2023,Post-Invernale,2023-02-15,1.FSV Mainz 05,156.68
Bundesliga,2022/2023,Post-Invernale,2023-02-15,VfB Stuttgart,151.55
Bundesliga,2022/2023,Post-Invernale,2023-02-15,FC Augsburg,141.18
Bundesliga,2022/2023,Post-Invernale,2023-02-15,1.FC Union Berlin,134.0
Bundesliga,2022/2023,Post-Invernale,2023-02-15,1.FC Köln,132.07
Bundesliga,2022/2023,Post-Invernale,2023-02-15,SV Werder Bremen,107.1
Bundesliga,2022/2023,Post-Invernale,2023-02-15,FC Schalke 04,90.85
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Hamburger SV,65.68
Bundesliga,2022/2023,Post-Invernale,2023-02-15,VfL Bochum,52.65
Bundesliga,2022/2023,Post-Invernale,2023-02-15,SpVgg Greuther Fürth,38.05
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Arminia Bielefeld,37.67
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Fortuna Düsseldorf,37.4
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Hannover 96,34.42
Bundesliga,2022/2023,Post-Invernale,2023-02-15,SV Darmstadt 98,32.55
Bundesliga,2022/2023,Post-Invernale,2023-02-15,FC St. Pauli,27.45
Bundesliga,2022/2023,Post-Invernale,2023-02-15,1.FC Nuremberg,24.8
Bundesliga,2022/2023,Post-Invernale,2023-02-15,SC Paderborn 07,21.78
Bundesliga,2022/2023,Post-Invernale,2023-02-15,1. Fußballclub Heidenheim 1846,18.8
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Holstein Kiel,13.0
Bundesliga,2022/2023,Post-Invernale,2023-02-15,FC Ingolstadt 04,12.73
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Eintracht Braunschweig,10.0
Bundesliga,2023/2024,Post-Estivo,2023-09-15,Bayern Munich,940.65
Bundesliga,2023/2024,Post-Estivo,2023-09-15,Borussia Dortmund,577.05
Bundesliga,2023/2024,Post-Estivo,2023-09-15,Bayer 04 Leverkusen,495.46
Bundesliga,2023/2024,Post-Estivo,2023-09-15,RB Leipzig,493.25
