Lega,Stagione,Periodo,Data_Rilevazione,Squadra,Valore_Mercato_Mln
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Bayern Munich,841.4
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Bayer 04 Leverkusen,480.9
Bundesliga,2022/2023,Post-Estivo,2022-09-15,RB Leipzig,479.78
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Borussia Dortmund,472.68
Bundesliga,2022/2023,Post-Estivo,2022-09-15,TSG 1899 Hoffenheim,222.9
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Eintracht Frankfurt,221.55
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Borussia Mönchengladbach,205.68
Bundesliga,2022/2023,Post-Estivo,2022-09-15,VfL Wolfsburg,202.0
Bundesliga,2022/2023,Post-Estivo,2022-09-15,SC Freiburg,138.5
Bundesliga,2022/2023,Post-Estivo,2022-09-15,VfB Stuttgart,126.73
Bundesliga,2022/2023,Post-Estivo,2022-09-15,FC Augsburg,119.6
Bundesliga,2022/2023,Post-Estivo,2022-09-15,1.FSV Mainz 05,100.7
Bundesliga,2022/2023,Post-Estivo,2022-09-15,1.FC Union Berlin,99.5
Bundesliga,2022/2023,Post-Estivo,2022-09-15,Hertha BSC,83.5
Bundesliga,2022/2023,Post-Estivo,2022-09-15,1.FC Köln,80.45
Bundesliga,2022/2023,Post-Estivo,2022-09-15,FC Schalke 04,69.0
Bundesliga,2022/2023,Post-Estivo,2022-09-15,SV Werder Bremen,60.5
Bundesliga,2022/2023,Post-Estivo,2022-09-15,VfL Bochum,44.83
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Bayern Munich,923.4
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Borussia Dortmund,518.0
Bundesliga,2022/2023,Post-Invernale,2023-02-15,RB Leipzig,495.1
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Bayer 04 Leverkusen,423.9
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Eintracht Frankfurt,267.05
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Borussia Mönchengladbach,238.1
Bundesliga,2022/2023,Post-Invernale,2023-02-15,TSG 1899 Hoffenheim,192.35
Bundesliga,2022/2023,Post-Invernale,2023-02-15,VfL Wolfsburg,191.7
Bundesliga,2022/2023,Post-Invernale,2023-02-15,SC Freiburg,162.13
Bundesliga,2022/2023,Post-Invernale,2023-02-15,1.FC Union Berlin,126.3
Bundesliga,2022/2023,Post-Invernale,2023-02-15,FC Augsburg,123.1
Bundesliga,2022/2023,Post-Invernale,2023-02-15,VfB Stuttgart,115.9
Bundesliga,2022/2023,Post-Invernale,2023-02-15,1.FSV Mainz 05,103.2
Bundesliga,2022/2023,Post-Invernale,2023-02-15,1.FC Köln,92.1
Bundesliga,2022/2023,Post-Invernale,2023-02-15,Hertha BSC,87.5
Bundesliga,2022/2023,Post-Invernale,2023-02-15,SV Werder Bremen,73.7
Bundesliga,2022/2023,Post-Invernale,2023-02-15,FC Schalke 04,63.2
Bundesliga,2022/2023,Post-Invernale,2023-02-15,VfL Bochum,47.83
Bundesliga,2023/2024,Post-Estivo,2023-09-15,Bayern Munich,962.7
Bundesliga,2023/2024,Post-Estivo,2023-09-15,Bayer 04 Leverkusen,457.8
Bundesliga,2023/2024,Post-Estivo,2023-09-15,Borussia Dortmund,445.8
Bundesliga,2023/2024,Post-Estivo,2023-09-15,RB Leipzig,371.0
Bundesliga,2023/2024,Post-Estivo,2023-09-15,Eintracht Frankfurt,282.7
Bundesliga,2023/2024,Post-Estivo,2023-09-15,VfL Wolfsburg,230.4
Bundesliga,2023/2024,Post-Estivo,2023-09-15,Borussia Mönchengladbach,180.65
Bundesliga,2023/2024,Post-Estivo,2023-09-15,1.FC Union Berlin,179.65
Bundesliga,2023/2024,Post-Estivo,2023-09-15,SC Freiburg,169.83
Bundesliga,2023/2024,Post-Estivo,2023-09-15,FC Augsburg,129.75
Bundesliga,2023/2024,Post-Estivo,2023-09-15,TSG 1899 Hoffenheim,128.53
Bundesliga,2023/2024,Post-Estivo,2023-09-15,1.FSV Mainz 05,126.88
Bundesliga,2023/2024,Post-Estivo,2023-09-15,VfB Stuttgart,120.63
Bundesliga,2023/2024,Post-Estivo,2023-09-15,SV Werder Bremen,113.15
Bundesliga,2023/2024,Post-Estivo,2023-09-15,1.FC Köln,93.45
Bundesliga,2023/2024,Post-Estivo,2023-09-15,VfL Bochum,54.2
Bundesliga,2023/2024,Post-Estivo,2023-09-15,SV Darmstadt 98,37.35
Bundesliga,2023/2024,Post-Estivo,2023-09-15,1. Fußballclub Heidenheim 1846,28.35
Bundesliga,2023/2024,Post-Invernale,2024-02-15,Bayern Munich,1001.95
Bundesliga,2023/2024,Post-Invernale,2024-02-15,Bayer 04 Leverkusen,564.5
Bundesliga,2023/2024,Post-Invernale,2024-02-15,RB Leipzig,477.0
Bundesliga,2023/2024,Post-Invernale,2024-02-15,Borussia Dortmund,434.0
Bundesliga,2023/2024,Post-Invernale,2024-02-15,Eintracht Frankfurt,301.85
Bundesliga,2023/2024,Post-Invernale,2024-02-15,VfL Wolfsburg,244.9
Bundesliga,2023/2024,Post-Invernale,2024-02-15,VfB Stuttgart,214.75
Bundesliga,2023/2024,Post-Invernale,2024-02-15,Borussia Mönchengladbach,194.3
Bundesliga,2023/2024,Post-Invernale,2024-02-15,SC Freiburg,181.65
Bundesliga,2023/2024,Post-Invernale,2024-02-15,1.FC Union Berlin,159.2
Bundesliga,2023/2024,Post-Invernale,2024-02-15,TSG 1899 Hoffenheim,135.75
Bundesliga,2023/2024,Post-Invernale,2024-02-15,FC Augsburg,135.07
Bundesliga,2023/2024,Post-Invernale,2024-02-15,1.FSV Mainz 05,114.6
Bundesliga,2023/2024,Post-Invernale,2024-02-15,SV Werder Bremen,114.2
Bundesliga,2023/2024,Post-Invernale,2024-02-15,1.FC Köln,94.05
Bundesliga,2023/2024,Post-Invernale,2024-02-15,VfL Bochum,56.4
Bundesliga,2023/2024,Post-Invernale,2024-02-15,1. Fußballclub Heidenheim 1846,48.6
Bundesliga,2023/2024,Post-Invernale,2024-02-15,SV Darmstadt 98,44.65
Bundesliga,2024/2025,Post-Estivo,2024-09-15,Bayern Munich,945.7
Bundesliga,2024/2025,Post-Estivo,2024-09-15,Bayer 04 Leverkusen,626.5
Bundesliga,2024/2025,Post-Estivo,2024-09-15,RB Leipzig,550.5
Bundesliga,2024/2025,Post-Estivo,2024-09-15,Borussia Dortmund,449.2
Bundesliga,2024/2025,Post-Estivo,2024-09-15,VfB Stuttgart,294.25
Bundesliga,2024/2025,Post-Estivo,2024-09-15,Eintracht Frankfurt,288.2
Bundesliga,2024/2025,Post-Estivo,2024-09-15,VfL Wolfsburg,201.0
Bundesliga,2024/2025,Post-Estivo,2024-09-15,SC Freiburg,183.1
Bundesliga,2024/2025,Post-Estivo,2024-09-15,Borussia Mönchengladbach,137.85
Bundesliga,2024/2025,Post-Estivo,2024-09-15,TSG 1899 Hoffenheim,137.63
Bundesliga,2024/2025,Post-Estivo,2024-09-15,1.FC Union Berlin,132.13
Bundesliga,2024/2025,Post-Estivo,2024-09-15,SV Werder Bremen,123.0
Bundesliga,2024/2025,Post-Estivo,2024-09-15,FC Augsburg,107.9
Bundesliga,2024/2025,Post-Estivo,2024-09-15,1.FSV Mainz 05,99.0
Bundesliga,2024/2025,Post-Estivo,2024-09-15,VfL Bochum,64.63
Bundesliga,2024/2025,Post-Estivo,2024-09-15,1. Fußballclub Heidenheim 1846,41.5
Bundesliga,2024/2025,Post-Estivo,2024-09-15,FC St. Pauli,38.53
Bundesliga,2024/2025,Post-Estivo,2024-09-15,Holstein Kiel,32.7
Bundesliga,2024/2025,Post-Invernale,2025-02-15,Bayern Munich,888.0
Bundesliga,2024/2025,Post-Invernale,2025-02-15,Bayer 04 Leverkusen,608.0
Bundesliga,2024/2025,Post-Invernale,2025-02-15,RB Leipzig,558.35
Bundesliga,2024/2025,Post-Invernale,2025-02-15,Borussia Dortmund,472.6
Bundesliga,2024/2025,Post-Invernale,2025-02-15,Eintracht Frankfurt,344.85
Bundesliga,2024/2025,Post-Invernale,2025-02-15,VfB Stuttgart,339.3
Bundesliga,2024/2025,Post-Invernale,2025-02-15,VfL Wolfsburg,211.5
Bundesliga,2024/2025,Post-Invernale,2025-02-15,SC Freiburg,177.65
Bundesliga,2024/2025,Post-Invernale,2025-02-15,TSG 1899 Hoffenheim,144.82
Bundesliga,2024/2025,Post-Invernale,2025-02-15,Borussia Mönchengladbach,140.0
Bundesliga,2024/2025,Post-Invernale,2025-02-15,SV Werder Bremen,131.0
Bundesliga,2024/2025,Post-Invernale,2025-02-15,1.FC Union Berlin,124.53
Bundesliga,2024/2025,Post-Invernale,2025-02-15,1.FSV Mainz 05,113.6
Bundesliga,2024/2025,Post-Invernale,2025-02-15,FC Augsburg,105.75
Bundesliga,2024/2025,Post-Invernale,2025-02-15,1. Fußballclub Heidenheim 1846,62.23
Bundesliga,2024/2025,Post-Invernale,2025-02-15,VfL Bochum,57.45
Bundesliga,2024/2025,Post-Invernale,2025-02-15,FC St. Pauli,44.45
Bundesliga,2024/2025,Post-Invernale,2025-02-15,Holstein Kiel,36.0
Bundesliga,2025/2026,Post-Estivo,2025-09-15,Bayern Munich,907.5
Bundesliga,2025/2026,Post-Estivo,2025-09-15,Borussia Dortmund,418.6
Bundesliga,2025/2026,Post-Estivo,2025-09-15,RB Leipzig,395.0
Bundesliga,2025/2026,Post-Estivo,2025-09-15,Bayer 04 Leverkusen,383.5
Bundesliga,2025/2026,Post-Estivo,2025-09-15,Eintracht Frankfurt,350.68
Bundesliga,2025/2026,Post-Estivo,2025-09-15,VfB Stuttgart,317.9
Bundesliga,2025/2026,Post-Estivo,2025-09-15,VfL Wolfsburg,285.85
Bundesliga,2025/2026,Post-Estivo,2025-09-15,SV Werder Bremen,190.85
Bundesliga,2025/2026,Post-Estivo,2025-09-15,Borussia Mönchengladbach,153.8
Bundesliga,2025/2026,Post-Estivo,2025-09-15,1.FSV Mainz 05,153.35
Bundesliga,2025/2026,Post-Estivo,2025-09-15,TSG 1899 Hoffenheim,148.95
Bundesliga,2025/2026,Post-Estivo,2025-09-15,SC Freiburg,140.3
Bundesliga,2025/2026,Post-Estivo,2025-09-15,FC Augsburg,124.1
Bundesliga,2025/2026,Post-Estivo,2025-09-15,1.FC Union Berlin,121.3
Bundesliga,2025/2026,Post-Estivo,2025-09-15,Hamburger SV,118.23
Bundesliga,2025/2026,Post-Estivo,2025-09-15,1.FC Köln,81.3
Bundesliga,2025/2026,Post-Estivo,2025-09-15,1. Fußballclub Heidenheim 1846,65.25
Bundesliga,2025/2026,Post-Estivo,2025-09-15,FC St. Pauli,46.4
Bundesliga,2025/2026,Post-Invernale,2026-02-15,Bayern Munich,986.8
Bundesliga,2025/2026,Post-Invernale,2026-02-15,Borussia Dortmund,486.5
Bundesliga,2025/2026,Post-Invernale,2026-02-15,RB Leipzig,470.0
Bundesliga,2025/2026,Post-Invernale,2026-02-15,Bayer 04 Leverkusen,448.2
Bundesliga,2025/2026,Post-Invernale,2026-02-15,Eintracht Frankfurt,401.85
Bundesliga,2025/2026,Post-Invernale,2026-02-15,VfB Stuttgart,394.7
Bundesliga,2025/2026,Post-Invernale,2026-02-15,VfL Wolfsburg,254.0
Bundesliga,2025/2026,Post-Invernale,2026-02-15,TSG 1899 Hoffenheim,200.3
Bundesliga,2025/2026,Post-Invernale,2026-02-15,SV Werder Bremen,190.1
Bundesliga,2025/2026,Post-Invernale,2026-02-15,SC Freiburg,174.43
Bundesliga,2025/2026,Post-Invernale,2026-02-15,Borussia Mönchengladbach,152.8
Bundesliga,2025/2026,Post-Invernale,2026-02-15,Hamburger SV,143.28
Bundesliga,2025/2026,Post-Invernale,2026-02-15,1.FC Köln,137.8
Bundesliga,2025/2026,Post-Invernale,2026-02-15,FC Augsburg,137.0
Bundesliga,2025/2026,Post-Invernale,2026-02-15,1.FSV Mainz 05,136.05
Bundesliga,2025/2026,Post-Invernale,2026-02-15,1.FC Union Berlin,124.75
Bundesliga,2025/2026,Post-Invernale,2026-02-15,1. Fußballclub Heidenheim 1846,69.3
Bundesliga,2025/2026,Post-Invernale,2026-02-15,FC St. Pauli,61.4
La_Liga,2022/2023,Post-Estivo,2022-09-15,Real Madrid,839.9
La_Liga,2022/2023,Post-Estivo,2022-09-15,FC Barcelona,735.25
La_Liga,2022/2023,Post-Estivo,2022-09-15,Atlético de Madrid,662.5
La_Liga,2022/2023,Post-Estivo,2022-09-15,Real Sociedad,354.8
La_Liga,2022/2023,Post-Estivo,2022-09-15,Sevilla FC,329.0
La_Liga,2022/2023,Post-Estivo,2022-09-15,Villarreal CF,303.1
La_Liga,2022/2023,Post-Estivo,2022-09-15,Real Betis Balompié,245.6
La_Liga,2022/2023,Post-Estivo,2022-09-15,Athletic Bilbao,221.6
La_Liga,2022/2023,Post-Estivo,2022-09-15,Valencia CF,209.1
La_Liga,2022/2023,Post-Estivo,2022-09-15,Getafe CF,157.4
La_Liga,2022/2023,Post-Estivo,2022-09-15,Celta de Vigo,126.45
La_Liga,2022/2023,Post-Estivo,2022-09-15,CA Osasuna,119.5
La_Liga,2022/2023,Post-Estivo,2022-09-15,RCD Espanyol Barcelona,114.35
La_Liga,2022/2023,Post-Estivo,2022-09-15,Girona FC,110.6
La_Liga,2022/2023,Post-Estivo,2022-09-15,Elche CF,88.6
La_Liga,2022/2023,Post-Estivo,2022-09-15,Rayo Vallecano,84.9
La_Liga,2022/2023,Post-Estivo,2022-09-15,Real Valladolid CF,80.35
La_Liga,2022/2023,Post-Estivo,2022-09-15,Cádiz CF,73.75
La_Liga,2022/2023,Post-Estivo,2022-09-15,RCD Mallorca,69.2
La_Liga,2022/2023,Post-Estivo,2022-09-15,UD Almería,66.9
La_Liga,2022/2023,Post-Invernale,2023-02-15,Real Madrid,903.0
