league,season_label,matchday,cutoff,match_id,home,away,kickoff,fthg,ftag,elo_available,team_stats_missing,A_market,A_poisson,A_conf,A_disagree,A_min_conf,A_admitted,A_hit,B_market,B_conf,B_admitted,B_n_admitted_markets,B_hit
Serie A,2024/25,1,2024-08-17T17:30:00+00:00,SerieA|2024|0,Genoa,Inter,2024-08-17T17:30:00Z,2,2,True,0,2,0.649882,0.635369,0.036282,0.55,True,0,2,0.635369,True,1,0
Serie A,2024/25,1,2024-08-17T17:30:00+00:00,SerieA|2024|1,Parma,Fiorentina,2024-08-17T17:30:00Z,1,1,True,1,GG,0.535862,0.535862,0.0,0.6,False,1,,,False,0,
Serie A,2024/25,1,2024-08-17T17:30:00+00:00,SerieA|2024|2,Empoli,Monza,2024-08-17T19:45:00Z,0,0,True,0,U2.5,0.64443,0.64443,0.0,0.6,True,1,U2.5,0.64443,True,1,1
Serie A,2024/25,1,2024-08-17T17:30:00+00:00,SerieA|2024|3,Milan,Torino,2024-08-17T19:45:00Z,2,2,True,0,1,0.688381,0.629228,0.147881,0.55,True,0,1,0.629228,True,1,0
Serie A,2024/25,1,2024-08-17T17:30:00+00:00,SerieA|2024|4,Bologna,Udinese,2024-08-18T17:30:00Z,1,1,True,0,U2.5,0.564006,0.564006,0.0,0.6,False,1,1,0.577975,True,1,0
Serie A,2024/25,1,2024-08-17T17:30:00+00:00,SerieA|2024|5,Verona,Napoli,2024-08-18T17:30:00Z,3,0,True,0,2,0.618239,0.551383,0.167139,0.55,True,0,2,0.551383,True,1,0
Serie A,2024/25,1,2024-08-17T17:30:00+00:00,SerieA|2024|6,Cagliari,Roma,2024-08-18T19:45:00Z,0,0,True,0,2,0.665138,0.593883,0.178138,0.55,True,0,2,0.593883,True,1,0
Serie A,2024/25,1,2024-08-17T17:30:00+00:00,SerieA|2024|7,Lazio,Venezia,2024-08-18T19:45:00Z,3,1,True,1,1,0.6628,0.62132,0.1037,0.55,True,1,1,0.62132,True,1,1
Serie A,2024/25,1,2024-08-17T17:30:00+00:00,SerieA|2024|8,Lecce,Atalanta,2024-08-19T17:30:00Z,0,4,True,0,2,0.705157,0.660694,0.111157,0.55,True,1,2,0.660694,True,1,1
Serie A,2024/25,1,2024-08-17T17:30:00+00:00,SerieA|2024|9,Juventus,Como,2024-08-19T19:45:00Z,3,0,True,1,1,0.695567,0.6577,0.094667,0.55,True,1,1,0.6577,True,1,1
Serie A,2024/25,2,2024-08-24T17:30:00+00:00,SerieA|2024|10,Parma,Milan,2024-08-24T17:30:00Z,2,1,True,0,U2.5,0.53244,0.53244,0.0,0.6,False,0,,,False,0,
Serie A,2024/25,2,2024-08-24T17:30:00+00:00,SerieA|2024|11,Udinese,Lazio,2024-08-24T17:30:00Z,2,1,True,0,GG,0.554473,0.554473,0.0,0.6,False,1,,,False,0,
Serie A,2024/25,2,2024-08-24T17:30:00+00:00,SerieA|2024|12,Inter,Lecce,2024-08-24T19:45:00Z,2,0,True,0,1,0.740268,0.790321,0.125132,0.55,True,1,1,0.790321,True,1,1
Serie A,2024/25,2,2024-08-24T17:30:00+00:00,SerieA|2024|13,Monza,Genoa,2024-08-24T19:45:00Z,0,1,True,0,U2.5,0.548791,0.548791,0.0,0.6,False,1,,,False,0,
Serie A,2024/25,2,2024-08-24T17:30:00+00:00,SerieA|2024|14,Fiorentina,Venezia,2024-08-25T17:30:00Z,0,0,True,0,1,0.573681,0.584568,0.027219,0.55,True,0,1,0.584568,True,1,0
Serie A,2024/25,2,2024-08-24T17:30:00+00:00,SerieA|2024|15,Torino,Atalanta,2024-08-25T17:30:00Z,2,1,True,0,GG,0.557664,0.557664,0.0,0.6,False,1,,,False,0,
Serie A,2024/25,2,2024-08-24T17:30:00+00:00,SerieA|2024|16,Napoli,Bologna,2024-08-25T19:45:00Z,3,0,True,0,GG,0.547812,0.547812,0.0,0.6,False,0,,,False,0,
Serie A,2024/25,2,2024-08-24T17:30:00+00:00,SerieA|2024|17,Roma,Empoli,2024-08-25T19:45:00Z,1,2,True,0,U2.5,0.598838,0.598838,0.0,0.6,False,0,,,False,0,
Serie A,2024/25,2,2024-08-24T17:30:00+00:00,SerieA|2024|18,Cagliari,Como,2024-08-26T17:30:00Z,1,1,True,0,U2.5,0.575604,0.575604,0.0,0.6,False,1,,,False,0,
Serie A,2024/25,2,2024-08-24T17:30:00+00:00,SerieA|2024|19,Verona,Juventus,2024-08-26T19:45:00Z,0,3,True,0,U2.5,0.576628,0.576628,0.0,0.6,False,0,,,False,0,
Serie A,2024/25,3,2024-08-30T17:30:00+00:00,SerieA|2024|20,Venezia,Torino,2024-08-30T17:30:00Z,0,1,True,0,GG,0.53956,0.53956,0.0,0.6,False,0,,,False,0,
Serie A,2024/25,3,2024-08-30T17:30:00+00:00,SerieA|2024|21,Inter,Atalanta,2024-08-30T19:45:00Z,4,0,True,0,GG,0.614092,0.614092,0.0,0.6,True,0,GG,0.614092,True,2,0
Serie A,2024/25,3,2024-08-30T17:30:00+00:00,SerieA|2024|22,Bologna,Empoli,2024-08-31T17:30:00Z,1,1,True,0,GG,0.535121,0.535121,0.0,0.6,False,1,,,False,0,
Serie A,2024/25,3,2024-08-30T17:30:00+00:00,SerieA|2024|23,Lecce,Cagliari,2024-08-31T17:30:00Z,1,0,True,0,GG,0.533333,0.533333,0.0,0.6,False,0,,,False,0,
Serie A,2024/25,3,2024-08-30T17:30:00+00:00,SerieA|2024|24,Lazio,Milan,2024-08-31T19:45:00Z,2,2,True,0,1,0.555776,0.482426,0.183376,0.55,False,0,,,False,0,
Serie A,2024/25,3,2024-08-30T17:30:00+00:00,SerieA|2024|25,Napoli,Parma,2024-08-31T19:45:00Z,2,1,True,0,GG,0.528767,0.528767,0.0,0.6,False,1,,,False,0,
Serie A,2024/25,3,2024-08-30T17:30:00+00:00,SerieA|2024|26,Fiorentina,Monza,2024-09-01T17:30:00Z,2,2,True,0,U2.5,0.682332,0.682332,0.0,0.6,True,0,U2.5,0.682332,True,2,0
